ID condition sub type order session sound_dist concept_dist answer RT score
A20O44S26VN11P sound 3 pre 2 0 NA NA 1 4465 1.0
A20O44S26VN11P sound 3 pre 1 0 NA NA 1 2298 1.0
A20O44S26VN11P sound 3 pre 3 0 NA NA 0 2077 1.0
A20O44S26VN11P sound 3 pre 4 0 NA NA 0 1775 1.0
A20O44S26VN11P sound 3 real 4 1 5 4 1 3441 1.0
A20O44S26VN11P sound 3 real 5 1 4 5 1 2141 1.0
A20O44S26VN11P sound 3 real 3 1 1 3 0 2406 1.0
A20O44S26VN11P sound 3 real 7 1 7 7 1 2144 1.0
A20O44S26VN11P sound 3 real 6 1 2 6 1 3442 1.0
A20O44S26VN11P sound 3 real 2 1 3 2 1 3218 1.0
A20O44S26VN11P sound 3 real 1 1 6 1 1 2404 1.0
A20O44S26VN11P sound 3 real 6 2 4 6 1 2447 1.0
A20O44S26VN11P sound 3 real 2 2 1 2 0 2250 1.0
A20O44S26VN11P sound 3 real 4 2 7 4 1 2159 1.0
A20O44S26VN11P sound 3 real 1 2 3 1 1 2149 1.0
A20O44S26VN11P sound 3 real 7 2 2 7 1 1974 1.0
A20O44S26VN11P sound 3 real 3 2 6 3 1 1944 1.0
A20O44S26VN11P sound 3 real 5 2 5 5 1 2318 1.0
A1IWW7TKKQYOL3 sound 3 pre 4 0 NA NA 1 16617 0.75
A1IWW7TKKQYOL3 sound 3 pre 2 0 NA NA 1 3030 0.75
A1IWW7TKKQYOL3 sound 3 pre 3 0 NA NA 0 2507 0.75
A1IWW7TKKQYOL3 sound 3 pre 1 0 NA NA 1 2107 0.75
A1IWW7TKKQYOL3 sound 3 real 5 1 1 5 0 3391 0.75
A1IWW7TKKQYOL3 sound 3 real 6 1 4 6 1 3225 0.75
A1IWW7TKKQYOL3 sound 3 real 7 1 3 7 0 2522 0.75
A1IWW7TKKQYOL3 sound 3 real 2 1 7 2 0 3079 0.75
A1IWW7TKKQYOL3 sound 3 real 4 1 5 4 0 3450 0.75
A1IWW7TKKQYOL3 sound 3 real 1 1 2 1 1 1355 0.75
A1IWW7TKKQYOL3 sound 3 real 3 1 6 3 0 122 0.75
A1IWW7TKKQYOL3 sound 3 real 3 2 3 3 0 562 0.75
A1IWW7TKKQYOL3 sound 3 real 1 2 5 1 1 218 0.75
A1IWW7TKKQYOL3 sound 3 real 2 2 4 2 1 13 0.75
