ID condition sub type order session sound_dist concept_dist answer RT score
AQ2INPVVXR1G0 sound 0 real 4 2 2 4 0 2379 1.0
AQ2INPVVXR1G0 sound 0 real 1 2 4 1 1 2282 1.0
A3O1RGEDKWD4QL sound 0 pre 2 0 NA NA 1 4277 1.0
A3O1RGEDKWD4QL sound 0 pre 3 0 NA NA 0 4070 1.0
A3O1RGEDKWD4QL sound 0 pre 1 0 NA NA 1 2745 1.0
A3O1RGEDKWD4QL sound 0 pre 4 0 NA NA 0 3001 1.0
A3O1RGEDKWD4QL sound 0 real 2 1 4 2 1 2989 1.0
A3O1RGEDKWD4QL sound 0 real 4 1 1 4 0 2720 1.0
A3O1RGEDKWD4QL sound 0 real 3 1 3 3 1 2240 1.0
A3O1RGEDKWD4QL sound 0 real 1 1 2 1 1 2882 1.0
A3O1RGEDKWD4QL sound 0 real 3 2 4 3 1 2670 1.0
A3O1RGEDKWD4QL sound 0 real 2 2 3 2 1 2816 1.0
A3O1RGEDKWD4QL sound 0 real 1 2 1 1 0 2537 1.0
A3O1RGEDKWD4QL sound 0 real 4 2 2 4 0 2448 1.0
A2IYTEEU4Z6QJ6 sound 0 pre 1 0 NA NA 1 3100 1.0
A2IYTEEU4Z6QJ6 sound 0 pre 2 0 NA NA 1 2648 1.0
A2IYTEEU4Z6QJ6 sound 0 pre 3 0 NA NA 0 1734 1.0
A2IYTEEU4Z6QJ6 sound 0 pre 4 0 NA NA 0 2501 1.0
A2IYTEEU4Z6QJ6 sound 0 real 2 1 1 2 0 2517 1.0
A2IYTEEU4Z6QJ6 sound 0 real 1 1 2 1 0 2187 1.0
A2IYTEEU4Z6QJ6 sound 0 real 3 1 3 3 1 2330 1.0
A2IYTEEU4Z6QJ6 sound 0 real 4 1 4 4 1 2229 1.0
A2IYTEEU4Z6QJ6 sound 0 real 2 2 4 2 1 2084 1.0
A2IYTEEU4Z6QJ6 sound 0 real 3 2 2 3 1 2336 1.0
A2IYTEEU4Z6QJ6 sound 0 real 1 2 1 1 0 2150 1.0
A2IYTEEU4Z6QJ6 sound 0 real 4 2 3 4 1 2537 1.0
A1OZPLHNIU1519 sound 0 pre 4 0 NA NA 0 6144 1.0
A1OZPLHNIU1519 sound 0 pre 3 0 NA NA 0 4066 1.0
A1OZPLHNIU1519 sound 0 pre 2 0 NA NA 1 3502 1.0
A1OZPLHNIU1519 sound 0 pre 1 0 NA NA 1 3669 1.0
A1OZPLHNIU1519 sound 0 real 4 1 3 4 1 3728 1.0
A1OZPLHNIU1519 sound 0 real 1 1 2 1 1 3684 1.0
A1OZPLHNIU1519 sound 0 real 3 1 4 3 1 5154 1.0
A1OZPLHNIU1519 sound 0 real 2 1 1 2 0 3250 1.0
A1OZPLHNIU1519 sound 0 real 4 2 2 4 0 3460 1.0
A1OZPLHNIU1519 sound 0 real 2 2 1 2 0 3314 1.0
A1OZPLHNIU1519 sound 0 real 1 2 4 1 1 3578 1.0
A1OZPLHNIU1519 sound 0 real 3 2 3 3 1 3180 1.0
A1NIK1THWWLKPY sound 0 pre 2 0 NA NA 1 3063 1.0
A1NIK1THWWLKPY sound 0 pre 4 0 NA NA 0 1614 1.0
A1NIK1THWWLKPY sound 0 pre 1 0 NA NA 1 2298 1.0
A1NIK1THWWLKPY sound 0 pre 3 0 NA NA 0 1534 1.0
A1NIK1THWWLKPY sound 0 real 1 1 2 1 1 2686 1.0
A1NIK1THWWLKPY sound 0 real 3 1 3 3 1 2047 1.0
A1NIK1THWWLKPY sound 0 real 4 1 1 4 0 2162 1.0
A1NIK1THWWLKPY sound 0 real 2 1 4 2 1 2016 1.0
A1NIK1THWWLKPY sound 0 real 2 2 1 2 1 1950 1.0
A1NIK1THWWLKPY sound 0 real 4 2 3 4 0 2226 1.0
A1NIK1THWWLKPY sound 0 real 1 2 2 1 1 4834 1.0
A1NIK1THWWLKPY sound 0 real 3 2 4 3 1 3973 1.0
AMWIBULQ4S8K3 sound 0 pre 4 0 NA NA 1 3616 0.75
AMWIBULQ4S8K3 sound 0 pre 2 0 NA NA 1 4277 0.75
AMWIBULQ4S8K3 sound 0 pre 3 0 NA NA 0 2930 0.75
AMWIBULQ4S8K3 sound 0 pre 1 0 NA NA 1 2544 0.75
AMWIBULQ4S8K3 sound 0 real 1 1 4 1 1 2961 0.75
AMWIBULQ4S8K3 sound 0 real 4 1 3 4 1 2745 0.75
AMWIBULQ4S8K3 sound 0 real 2 1 1 2 0 2602 0.75
AMWIBULQ4S8K3 sound 0 real 3 1 2 3 0 2602 0.75
AMWIBULQ4S8K3 sound 0 real 2 2 2 2 1 2545 0.75
AMWIBULQ4S8K3 sound 0 real 3 2 4 3 1 2769 0.75
AMWIBULQ4S8K3 sound 0 real 1 2 1 1 0 2644 0.75
AMWIBULQ4S8K3 sound 0 real 4 2 3 4 1 2443 0.75
ALK8IERMYHU5J sound 0 pre 1 0 NA NA 1 4528 1.0
ALK8IERMYHU5J sound 0 pre 2 0 NA NA 1 2508 1.0
ALK8IERMYHU5J sound 0 pre 3 0 NA NA 0 2112 1.0
ALK8IERMYHU5J sound 0 pre 4 0 NA NA 0 2275 1.0
ALK8IERMYHU5J sound 0 real 1 1 1 1 0 4577 1.0
ALK8IERMYHU5J sound 0 real 2 1 3 2 1 3061 1.0
ALK8IERMYHU5J sound 0 real 4 1 2 4 0 2426 1.0
ALK8IERMYHU5J sound 0 real 3 1 4 3 1 2601 1.0
ALK8IERMYHU5J sound 0 real 2 2 2 2 0 2301 1.0
ALK8IERMYHU5J sound 0 real 3 2 4 3 1 2537 1.0
ALK8IERMYHU5J sound 0 real 1 2 1 1 0 2609 1.0
ALK8IERMYHU5J sound 0 real 4 2 3 4 1 2369 1.0
AWPZVPQ0Z18GN sound 0 pre 2 0 NA NA 1 4790 0.75
AWPZVPQ0Z18GN sound 0 pre 1 0 NA NA 1 2285 0.75
AWPZVPQ0Z18GN sound 0 pre 3 0 NA NA 0 1531 0.75
AWPZVPQ0Z18GN sound 0 pre 4 0 NA NA 1 1537 0.75
AWPZVPQ0Z18GN sound 0 real 1 1 4 1 1 9598 0.75
AWPZVPQ0Z18GN sound 0 real 2 1 1 2 0 3704 0.75
AWPZVPQ0Z18GN sound 0 real 4 1 3 4 0 2636 0.75
AWPZVPQ0Z18GN sound 0 real 3 1 2 3 1 2731 0.75
AWPZVPQ0Z18GN sound 0 real 4 2 4 4 1 2390 0.75
AWPZVPQ0Z18GN sound 0 real 1 2 1 1 1 2445 0.75
AWPZVPQ0Z18GN sound 0 real 2 2 3 2 1 5708 0.75
AWPZVPQ0Z18GN sound 0 real 3 2 2 3 0 3334 0.75
A2SR85I8JMO1ZZ sound 0 pre 2 0 NA NA 1 2006 1.0
A2SR85I8JMO1ZZ sound 0 pre 1 0 NA NA 1 1617 1.0
A2SR85I8JMO1ZZ sound 0 pre 3 0 NA NA 0 1710 1.0
A2SR85I8JMO1ZZ sound 0 pre 4 0 NA NA 0 1823 1.0
A2SR85I8JMO1ZZ sound 0 real 1 1 4 1 1 2585 1.0
A2SR85I8JMO1ZZ sound 0 real 2 1 2 2 0 2403 1.0
A2SR85I8JMO1ZZ sound 0 real 3 1 1 3 0 2077 1.0
A2SR85I8JMO1ZZ sound 0 real 4 1 3 4 1 2067 1.0
A2SR85I8JMO1ZZ sound 0 real 1 2 1 1 0 2081 1.0
A2SR85I8JMO1ZZ sound 0 real 2 2 4 2 1 2052 1.0
A2SR85I8JMO1ZZ sound 0 real 3 2 3 3 1 2075 1.0
A2SR85I8JMO1ZZ sound 0 real 4 2 2 4 1 2078 1.0
AK467M5VTG7N4 sound 0 pre 3 0 NA NA 0 1473 0.75
AK467M5VTG7N4 sound 0 pre 4 0 NA NA 1 7539 0.75
