ID condition type session sound_dist concept_dist answer RT
A1YCS8Y1BPXBWY sound real 1 4 4 1 3325
A1YCS8Y1BPXBWY sound real 1 1 1 0 2628
A1YCS8Y1BPXBWY sound real 1 3 3 0 2226
A1YCS8Y1BPXBWY sound real 1 2 2 0 2138
A1YCS8Y1BPXBWY sound real 2 2 4 0 2543
A1YCS8Y1BPXBWY sound real 2 3 2 1 2369
A1YCS8Y1BPXBWY sound real 2 1 3 1 2604
A1YCS8Y1BPXBWY sound real 2 4 1 1 2188
A34930YXVQ8SUT sound pre 0 NA NA 1 8277
A34930YXVQ8SUT sound pre 0 NA NA 1 2939
A34930YXVQ8SUT sound pre 0 NA NA 1 4184
A34930YXVQ8SUT sound pre 0 NA NA 0 2216
A34930YXVQ8SUT sound real 1 1 1 0 5483
A34930YXVQ8SUT sound real 1 3 4 1 4561
A34930YXVQ8SUT sound real 1 4 2 1 3063
A34930YXVQ8SUT sound real 1 2 3 0 2877
A34930YXVQ8SUT sound real 2 1 3 0 3581
A34930YXVQ8SUT sound real 2 4 4 1 2875
A34930YXVQ8SUT sound real 2 3 1 1 2557
A34930YXVQ8SUT sound real 2 2 2 0 3670
A3SZS12EAWZIP5 concept pre 0 NA NA 1 5996
A3SZS12EAWZIP5 concept pre 0 NA NA 0 2262
A3SZS12EAWZIP5 concept pre 0 NA NA 0 3045
A3SZS12EAWZIP5 concept pre 0 NA NA 1 2397
A3SZS12EAWZIP5 concept real 1 3 2 1 6056
A3SZS12EAWZIP5 concept real 1 1 1 0 2812
A3SZS12EAWZIP5 concept real 1 4 3 1 2422
A3SZS12EAWZIP5 concept real 1 2 4 1 1933
A3SZS12EAWZIP5 concept real 2 3 2 1 2205
A3SZS12EAWZIP5 concept real 2 2 3 1 1744
A3SZS12EAWZIP5 concept real 2 1 4 1 1706
A3SZS12EAWZIP5 concept real 2 4 1 0 1644
A12HZGOZQD5YK7 concept pre 0 NA NA 1 6295
A12HZGOZQD5YK7 concept pre 0 NA NA 1 4621
A12HZGOZQD5YK7 concept pre 0 NA NA 0 2310
A12HZGOZQD5YK7 concept pre 0 NA NA 0 3651
A12HZGOZQD5YK7 concept real 1 3 2 1 2334
A12HZGOZQD5YK7 concept real 1 2 4 1 1787
A12HZGOZQD5YK7 concept real 1 1 3 1 2935
A12HZGOZQD5YK7 concept real 1 4 1 0 2793
A12HZGOZQD5YK7 concept real 2 4 2 1 3661
A12HZGOZQD5YK7 concept real 2 2 3 1 2104
A12HZGOZQD5YK7 concept real 2 1 4 1 2185
A12HZGOZQD5YK7 concept real 2 3 1 0 2014
AH10LFJTN3G6U sound pre 0 NA NA 1 2525
AH10LFJTN3G6U sound pre 0 NA NA 0 1953
AH10LFJTN3G6U sound pre 0 NA NA 1 2057
AH10LFJTN3G6U sound pre 0 NA NA 0 1788
AH10LFJTN3G6U sound real 1 3 4 1 2768
AH10LFJTN3G6U sound real 1 1 3 0 2411
AH10LFJTN3G6U sound real 1 2 2 0 2292
AH10LFJTN3G6U sound real 1 4 1 1 2220
AH10LFJTN3G6U sound real 2 4 4 1 2496
AH10LFJTN3G6U sound real 2 2 1 0 2684
AH10LFJTN3G6U sound real 2 3 3 1 2162
AH10LFJTN3G6U sound real 2 1 2 0 2291
A2JLNI234KEKKE sound pre 0 NA NA 0 4462
A2JLNI234KEKKE sound pre 0 NA NA 0 3037
A2JLNI234KEKKE sound pre 0 NA NA 1 5575
A2JLNI234KEKKE sound pre 0 NA NA 1 3559
A2JLNI234KEKKE sound real 1 2 2 0 3834
A2JLNI234KEKKE sound real 1 1 4 0 3152
A2JLNI234KEKKE sound real 1 3 1 0 3148
A2JLNI234KEKKE sound real 1 4 3 1 5855
A2JLNI234KEKKE sound real 2 2 2 0 4659
A2JLNI234KEKKE sound real 2 4 3 1 3089
A2JLNI234KEKKE sound real 2 1 1 0 3523
A2JLNI234KEKKE sound real 2 3 4 1 2887
A1QX6AXRT6T94R sound pre 0 NA NA 1 6146
A1QX6AXRT6T94R sound pre 0 NA NA 1 3909
A1QX6AXRT6T94R sound pre 0 NA NA 0 2635
A1QX6AXRT6T94R sound pre 0 NA NA 0 2414
A1QX6AXRT6T94R sound real 1 2 2 0 3089
A1QX6AXRT6T94R sound real 1 3 4 1 2742
A1QX6AXRT6T94R sound real 1 4 1 1 2696
A1QX6AXRT6T94R sound real 1 1 3 0 2736
A1QX6AXRT6T94R sound real 2 4 2 1 2626
A1QX6AXRT6T94R sound real 2 2 3 1 2765
A1QX6AXRT6T94R sound real 2 3 4 1 2679
A1QX6AXRT6T94R sound real 2 1 1 0 2682
