ID condition sub type order session sound_dist concept_dist answer RT score
AK467M5VTG7N4 sound 3 pre 4 0 NA NA 0 3474 1.0
AK467M5VTG7N4 sound 3 pre 2 0 NA NA 1 2832 1.0
AK467M5VTG7N4 sound 3 pre 1 0 NA NA 1 2306 1.0
AK467M5VTG7N4 sound 3 pre 3 0 NA NA 0 2099 1.0
AK467M5VTG7N4 sound 3 real 3 1 8 3 0 2674 1.0
AK467M5VTG7N4 sound 3 real 8 1 2 8 0 2579 1.0
AK467M5VTG7N4 sound 3 real 1 1 9 1 1 2236 1.0
AK467M5VTG7N4 sound 3 real 5 1 7 5 1 2315 1.0
AK467M5VTG7N4 sound 3 real 10 1 6 10 1 2401 1.0
AK467M5VTG7N4 sound 3 real 7 1 1 7 0 2313 1.0
AK467M5VTG7N4 sound 3 real 6 1 3 6 0 2465 1.0
AK467M5VTG7N4 sound 3 real 2 1 4 2 1 2364 1.0
AK467M5VTG7N4 sound 3 real 9 1 5 9 0 2682 1.0
AK467M5VTG7N4 sound 3 real 4 1 10 4 1 2161 1.0
AK467M5VTG7N4 sound 3 real 1 2 1 1 1 2387 1.0
AK467M5VTG7N4 sound 3 real 7 2 6 7 1 2450 1.0
AK467M5VTG7N4 sound 3 real 4 2 4 4 0 2188 1.0
AK467M5VTG7N4 sound 3 real 10 2 7 10 1 2138 1.0
AK467M5VTG7N4 sound 3 real 6 2 10 6 1 2500 1.0
AK467M5VTG7N4 sound 3 real 5 2 9 5 1 2556 1.0
AK467M5VTG7N4 sound 3 real 2 2 8 2 1 2762 1.0
AK467M5VTG7N4 sound 3 real 8 2 5 8 0 2932 1.0
AK467M5VTG7N4 sound 3 real 3 2 3 3 1 2211 1.0
AK467M5VTG7N4 sound 3 real 9 2 2 9 1 2763 1.0
A3SOJWB6AZWZV9 sound 3 pre 3 0 NA NA 0 5091 1.0
A3SOJWB6AZWZV9 sound 3 pre 4 0 NA NA 0 2074 1.0
A3SOJWB6AZWZV9 sound 3 pre 2 0 NA NA 1 6455 1.0
