ID condition sub type order session sound_dist concept_dist answer RT score
A1ZZ7YO3YASNIP sound 3 pre 1 0 NA NA 1 3399 1.0
A1ZZ7YO3YASNIP sound 3 pre 4 0 NA NA 0 1852 1.0
A1ZZ7YO3YASNIP sound 3 pre 3 0 NA NA 0 2082 1.0
A1ZZ7YO3YASNIP sound 3 pre 2 0 NA NA 1 1763 1.0
A1ZZ7YO3YASNIP sound 3 real 4 1 2 4 0 2397 1.0
A1ZZ7YO3YASNIP sound 3 real 2 1 3 2 0 2162 1.0
A1ZZ7YO3YASNIP sound 3 real 1 1 1 1 0 2115 1.0
A1ZZ7YO3YASNIP sound 3 real 3 1 4 3 0 2066 1.0
A1ZZ7YO3YASNIP sound 3 real 4 2 2 4 0 1974 1.0
A1ZZ7YO3YASNIP sound 3 real 1 2 4 1 0 2346 1.0
A1ZZ7YO3YASNIP sound 3 real 2 2 1 2 0 2340 1.0
A1ZZ7YO3YASNIP sound 3 real 3 2 3 3 0 2065 1.0
A1K8QNLYYYX21W sound 3 pre 2 0 NA NA 1 3682 0.75
A1K8QNLYYYX21W sound 3 pre 1 0 NA NA 0 3358 0.75
A1K8QNLYYYX21W sound 3 pre 3 0 NA NA 0 2076 0.75
A1K8QNLYYYX21W sound 3 pre 4 0 NA NA 0 1820 0.75
A1K8QNLYYYX21W sound 3 real 1 1 3 1 0 2662 0.75
A1K8QNLYYYX21W sound 3 real 3 1 4 3 0 2379 0.75
A1K8QNLYYYX21W sound 3 real 4 1 2 4 1 2268 0.75
A1K8QNLYYYX21W sound 3 real 2 1 1 2 1 2328 0.75
A1K8QNLYYYX21W sound 3 real 4 2 4 4 0 2219 0.75
A1K8QNLYYYX21W sound 3 real 1 2 3 1 1 2071 0.75
A1K8QNLYYYX21W sound 3 real 3 2 1 3 1 1974 0.75
A1K8QNLYYYX21W sound 3 real 2 2 2 2 1 2003 0.75
A37EV8RZ82WT8E sound 3 pre 1 0 NA NA 1 2054 0.75
A37EV8RZ82WT8E sound 3 pre 4 0 NA NA 0 1699 0.75
A37EV8RZ82WT8E sound 3 pre 2 0 NA NA 0 2475 0.75
A37EV8RZ82WT8E sound 3 pre 3 0 NA NA 0 1932 0.75
A37EV8RZ82WT8E sound 3 real 4 1 4 4 0 2759 0.75
A37EV8RZ82WT8E sound 3 real 2 1 1 2 0 2618 0.75
A37EV8RZ82WT8E sound 3 real 1 1 3 1 0 2507 0.75
A37EV8RZ82WT8E sound 3 real 3 1 2 3 0 2622 0.75
A37EV8RZ82WT8E sound 3 real 3 2 2 3 0 2625 0.75
A37EV8RZ82WT8E sound 3 real 2 2 3 2 0 2474 0.75
A37EV8RZ82WT8E sound 3 real 4 2 1 4 0 5340 0.75
A37EV8RZ82WT8E sound 3 real 1 2 4 1 1 2667 0.75
A1SLJKNSNHOJRN sound 3 pre 1 0 NA NA 1 4594 1.0
A1SLJKNSNHOJRN sound 3 pre 2 0 NA NA 1 2840 1.0
A1SLJKNSNHOJRN sound 3 pre 4 0 NA NA 0 2260 1.0
A1SLJKNSNHOJRN sound 3 pre 3 0 NA NA 0 2284 1.0
A1SLJKNSNHOJRN sound 3 real 4 1 4 4 1 2625 1.0
A1SLJKNSNHOJRN sound 3 real 3 1 3 3 1 3114 1.0
A1SLJKNSNHOJRN sound 3 real 1 1 1 1 1 3056 1.0
A1SLJKNSNHOJRN sound 3 real 2 1 2 2 0 2681 1.0
